MSSubClass,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
11.0,16.0,6.0,102.0,56.0,3.0,306.0,2.0,5.0,2.0,1494.0,4.0,1494.0,1494.0,2.0,2.0,5.0,1.0,4.0,93.0,1.0,4.0,840.0,279500.0
11.0,10.0,5.0,66.0,19.0,2.0,212.0,1.0,2.0,1.0,1253.0,2.0,1253.0,1253.0,0.0,1.0,3.0,1.0,4.0,52.0,1.0,1.0,352.0,157000.0
2.0,3.0,6.0,54.0,41.0,1.0,0.0,1.0,1.0,1.0,832.0,4.0,854.0,854.0,0.0,1.0,3.0,0.0,1.0,65.0,0.0,2.0,576.0,132000.0
11.0,10.0,5.0,33.0,16.0,2.0,180.0,1.0,2.0,1.0,1004.0,4.0,1004.0,1004.0,0.0,1.0,3.0,1.0,4.0,43.0,2.0,2.0,480.0,149000.0
4.0,6.0,3.0,47.0,10.0,1.0,0.0,1.0,0.0,1.5797610681658467,0.0,2.0,1296.0,1296.0,2.0,1.0,4.0,0.0,0.0,17.0,0.0,2.0,516.0,90000.0
11.0,12.0,4.0,85.0,43.0,1.0,0.0,1.0,5.0,1.0,1114.0,4.0,1114.0,1114.0,0.0,2.0,4.0,0.0,1.0,78.0,0.0,2.0,576.0,159000.0
11.0,10.0,4.0,48.0,18.0,1.0,0.0,1.0,2.0,1.0,1029.0,2.0,1339.0,1339.0,0.0,1.0,4.0,0.0,4.0,24.0,0.0,1.0,294.0,139000.0
14.0,23.0,7.0,97.0,57.0,2.0,380.0,2.0,5.0,3.0,1158.0,4.0,1158.0,2376.0,3.0,2.0,8.0,1.0,5.0,81.0,1.0,4.0,853.0,325300.0
2.0,1.0,6.0,3.0,1.0,1.0,0.0,1.0,5.0,1.0,637.0,4.0,1108.0,1108.0,0.0,2.0,4.0,1.0,4.0,16.0,0.0,1.0,280.0,139400.0
11.0,16.0,7.0,95.0,53.0,2.0,281.0,2.0,5.0,2.0,1777.0,4.0,1795.0,1795.0,2.0,2.0,5.0,1.0,4.0,79.0,1.0,2.0,534.0,230000.0
13.0,0.0,4.0,70.0,31.0,1.0,0.0,1.0,5.0,2.0,1040.0,2.0,1060.0,1060.0,0.0,1.0,4.0,1.0,4.0,55.0,0.0,2.0,572.0,129900.0
11.0,6.0,4.0,73.0,41.0,1.0,0.0,1.0,2.0,1.0,1060.0,4.0,1060.0,1060.0,0.0,2.0,4.0,1.0,4.0,59.0,0.0,1.0,270.0,154000.0
11.0,23.0,7.0,103.0,56.0,3.0,640.0,2.0,5.0,2.0,1566.0,4.0,1600.0,1600.0,2.0,2.0,5.0,1.0,4.0,88.0,1.0,4.0,890.0,256300.0
11.0,10.0,4.0,37.0,38.0,1.0,0.0,1.0,2.0,1.0,900.0,2.0,900.0,900.0,0.0,2.0,3.0,0.0,1.0,81.0,0.0,2.0,576.0,134800.0
11.0,23.0,7.0,103.0,58.0,3.0,200.0,2.0,5.0,3.0,1704.0,4.0,1704.0,1704.0,2.0,2.0,5.0,1.0,4.0,95.0,1.0,4.0,772.0,306000.0
11.0,10.0,4.0,52.0,52.0,1.0,0.0,1.0,2.0,1.0,1484.0,2.0,1600.0,1600.0,0.0,1.0,4.0,2.0,4.0,37.0,1.0,1.0,319.0,207500.0
0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,520.0,1.0,520.0,520.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,240.0,68500.0
9.0,1.0,3.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,649.0,2.0,649.0,1317.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,250.0,40000.0
11.0,6.0,4.0,62.0,57.0,1.0,0.0,1.0,2.0,1.0,1228.0,3.0,1228.0,1228.0,0.0,2.0,4.0,0.0,4.0,49.0,0.0,1.0,271.0,149350.0
11.0,16.0,7.0,103.0,56.0,1.0,0.0,2.0,5.0,3.0,1234.0,4.0,1234.0,1234.0,2.0,2.0,5.0,0.0,4.0,88.0,1.0,2.0,484.0,179900.0
11.0,10.0,4.0,56.0,13.0,1.0,0.0,1.0,2.0,1.0,1398.0,3.0,1700.0,1700.0,0.0,2.0,4.0,1.0,4.0,61.0,1.0,2.0,447.0,165500.0
13.0,23.0,8.0,97.0,50.0,2.0,246.0,3.0,5.0,3.0,1561.0,4.0,1561.0,1561.0,2.0,3.0,4.0,1.0,4.0,81.0,2.0,2.0,556.0,277500.0
14.0,23.0,7.0,85.0,50.0,3.0,132.0,2.0,5.0,3.0,1117.0,4.0,1132.0,2452.0,3.0,2.0,8.0,1.0,5.0,78.0,2.0,4.0,691.0,309000.0
11.0,16.0,4.0,100.0,47.0,1.0,0.0,1.0,5.0,2.0,1097.0,4.0,1097.0,1097.0,0.0,1.0,4.0,0.0,4.0,90.0,0.0,2.0,672.0,145000.0
11.0,10.0,4.0,41.0,45.0,2.0,650.0,1.0,2.0,1.0,1297.0,3.0,1297.0,1297.0,0.0,1.0,3.0,1.0,4.0,29.0,2.0,2.0,498.0,153000.0
11.0,10.0,4.0,51.0,56.0,1.0,0.0,1.0,2.0,1.0,1057.0,2.0,1057.0,1057.0,0.0,2.0,3.0,0.0,1.0,39.0,0.0,1.0,246.0,109000.0
4.0,4.0,3.0,32.0,6.0,1.0,0.0,1.0,5.0,1.5797610681658467,0.0,2.0,1152.0,1152.0,2.0,0.0,4.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,82000.0
11.0,10.0,5.0,55.0,18.0,2.0,101.0,1.0,2.0,1.0,1088.0,4.0,1324.0,1324.0,2.0,1.0,4.0,1.0,4.0,45.0,1.0,2.0,440.0,160000.0
11.0,21.0,4.0,56.0,13.0,1.0,0.0,1.0,2.0,1.0,1350.0,3.0,1328.0,1328.0,0.0,1.0,3.0,2.0,4.0,61.0,1.0,1.0,308.0,170000.0
7.0,12.0,4.0,77.0,14.0,1.0,0.0,1.0,2.0,2.0,840.0,3.0,884.0,884.0,0.0,2.0,3.0,0.0,4.0,69.0,1.0,2.0,504.0,144000.0
11.0,16.0,4.0,60.0,25.0,1.0,0.0,1.0,2.0,2.0,938.0,2.0,938.0,938.0,0.0,1.0,3.0,0.0,1.0,60.0,0.0,1.0,308.0,130250.0
11.0,10.0,4.0,56.0,13.0,1.0,0.0,1.0,2.0,1.0,1150.0,4.0,1150.0,1150.0,0.0,1.0,4.0,0.0,4.0,61.0,1.0,1.0,300.0,141000.0
13.0,23.0,8.0,97.0,50.0,2.0,412.0,3.0,5.0,3.0,1752.0,4.0,1752.0,1752.0,2.0,3.0,4.0,1.0,4.0,81.0,1.0,2.0,576.0,319900.0
6.0,11.0,6.0,96.0,42.0,1.0,0.0,2.0,5.0,3.0,1434.0,4.0,1518.0,2149.0,0.0,2.0,4.0,1.0,4.0,84.0,1.0,2.0,670.0,239686.0
11.0,19.0,7.0,102.0,57.0,1.0,0.0,2.0,5.0,2.0,1656.0,4.0,1656.0,1656.0,2.0,2.0,5.0,0.0,4.0,93.0,1.0,4.0,826.0,249700.0
3.0,5.0,3.0,13.0,58.0,1.0,0.0,1.0,1.0,1.0,736.0,3.0,736.0,1452.0,2.0,1.0,7.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,113000.0
11.0,6.0,4.0,62.0,22.0,1.0,0.0,1.0,2.0,1.0,955.0,4.0,955.0,955.0,0.0,1.0,4.0,0.0,4.0,49.0,0.0,1.0,386.0,127000.0
14.0,14.0,5.0,89.0,52.0,1.0,0.0,1.0,5.0,2.0,794.0,3.0,794.0,1470.0,2.0,1.0,4.0,0.0,4.0,75.0,2.0,2.0,388.0,177000.0
6.0,3.0,5.0,93.0,1.0,1.0,0.0,1.0,5.0,1.0,816.0,2.0,816.0,1176.0,0.0,1.0,4.0,1.0,1.0,53.0,0.0,2.0,528.0,114500.0
4.0,1.0,4.0,49.0,17.0,1.0,0.0,0.0,2.0,2.0,816.0,2.0,816.0,816.0,0.0,1.0,3.0,0.0,0.0,27.0,0.0,2.0,516.0,110000.0
11.0,20.0,8.0,101.0,49.0,1.0,0.0,2.0,2.0,3.0,1842.0,3.0,1842.0,1842.0,1.0,2.0,3.0,1.0,4.0,70.0,2.0,4.0,894.0,385000.0
10.0,10.0,4.0,32.0,6.0,1.0,0.0,1.0,2.0,1.0,384.0,2.0,1360.0,1360.0,0.0,1.0,4.0,1.0,1.0,28.0,0.0,2.0,572.0,130000.0
11.0,10.0,5.0,67.0,29.0,2.0,272.0,1.0,2.0,1.0,1425.0,3.0,1425.0,1425.0,2.0,1.0,5.0,1.0,4.0,48.0,1.0,2.0,576.0,180500.0
5.0,19.0,7.0,86.0,38.0,2.0,456.0,2.0,5.0,2.0,970.0,4.0,983.0,1739.0,2.0,2.0,5.0,0.0,4.0,73.0,2.0,2.0,480.0,172500.0
14.0,16.0,6.0,85.0,43.0,1.0,0.0,2.0,5.0,2.0,860.0,4.0,860.0,1720.0,2.0,2.0,5.0,0.0,4.0,78.0,1.0,2.0,565.0,196500.0
14.0,22.0,9.0,102.0,57.0,2.0,1031.0,3.0,5.0,3.0,1410.0,4.0,1426.0,2945.0,3.0,2.0,10.0,1.0,5.0,93.0,2.0,4.0,641.0,438780.0
11.0,16.0,4.0,44.0,7.0,1.0,0.0,1.0,2.0,1.0,780.0,4.0,780.0,780.0,0.0,1.0,2.0,0.0,1.0,26.0,0.0,1.0,352.0,124900.0
11.0,12.0,5.0,85.0,43.0,1.0,0.0,1.0,5.0,2.0,1158.0,4.0,1158.0,1158.0,0.0,2.0,3.0,0.0,1.0,93.0,0.0,2.0,576.0,158000.0
12.0,1.0,4.0,13.0,51.0,1.0,0.0,1.0,1.0,1.0,530.0,2.0,581.0,1111.0,0.0,0.0,4.0,0.0,1.0,35.0,0.0,1.0,288.0,101000.0
13.0,23.0,7.0,102.0,57.0,3.0,178.0,2.0,5.0,2.0,1370.0,4.0,1370.0,1370.0,2.0,2.0,4.0,1.0,4.0,93.0,1.0,2.0,484.0,202500.0
9.0,5.0,6.0,45.0,1.0,1.0,0.0,1.0,1.0,1.0,576.0,3.0,902.0,1710.0,2.0,1.0,8.0,0.0,1.0,74.0,0.0,2.0,480.0,140000.0
14.0,16.0,6.0,89.0,48.0,2.0,573.0,1.0,5.0,2.0,1057.0,4.0,1057.0,2034.0,2.0,2.0,7.0,0.0,4.0,77.0,1.0,2.0,645.0,219500.0
14.0,23.0,7.0,85.0,50.0,2.0,344.0,2.0,5.0,3.0,1143.0,4.0,1143.0,2473.0,2.0,2.0,8.0,1.0,5.0,78.0,1.0,4.0,852.0,317000.0
11.0,10.0,6.0,33.0,44.0,2.0,287.0,1.0,2.0,2.0,1947.0,2.0,2207.0,2207.0,2.0,1.0,5.0,1.0,4.0,43.0,1.0,2.0,576.0,180000.0
11.0,16.0,6.0,96.0,42.0,2.0,167.0,2.0,5.0,2.0,1453.0,4.0,1479.0,1479.0,2.0,2.0,5.0,0.0,4.0,84.0,1.0,2.0,558.0,226000.0
0.0,5.0,3.0,30.0,1.0,1.0,0.0,1.0,2.0,1.0,747.0,2.0,747.0,747.0,0.0,1.0,2.0,0.0,4.0,15.0,0.0,1.0,220.0,80000.0
6.0,18.0,6.0,51.0,21.0,1.0,0.0,2.0,2.0,1.0,1304.0,2.0,1304.0,2287.0,2.0,1.0,5.0,1.0,4.0,39.0,2.0,2.0,667.0,225000.0
11.0,10.0,6.0,40.0,15.0,2.0,1115.0,1.0,2.0,2.0,2223.0,4.0,2223.0,2223.0,2.0,1.0,7.0,2.0,4.0,26.0,2.0,2.0,516.0,244000.0
11.0,11.0,3.0,29.0,57.0,1.0,0.0,1.0,2.0,1.0,845.0,2.0,845.0,845.0,0.0,1.0,2.0,0.0,1.0,58.0,0.0,2.0,360.0,129500.0
14.0,14.0,6.0,92.0,48.0,2.0,40.0,1.0,5.0,2.0,832.0,3.0,885.0,1718.0,2.0,1.0,5.0,1.0,4.0,77.0,2.0,2.0,427.0,185000.0
11.0,10.0,4.0,41.0,42.0,2.0,104.0,1.0,2.0,1.0,1086.0,3.0,1086.0,1086.0,0.0,1.0,4.0,0.0,4.0,68.0,0.0,2.0,490.0,144900.0
6.0,5.0,2.0,31.0,1.0,1.0,0.0,2.0,2.0,0.0,840.0,3.0,840.0,1605.0,2.0,1.0,7.0,0.0,1.0,14.0,0.0,1.0,379.0,107400.0
1.0,0.0,3.0,40.0,15.0,1.0,0.0,1.0,2.0,2.0,462.0,2.0,526.0,988.0,0.0,1.0,3.0,0.0,5.0,26.0,0.0,1.0,297.0,91000.0
11.0,10.0,3.0,36.0,5.0,1.0,0.0,1.0,2.0,1.0,952.0,4.0,952.0,952.0,0.0,1.0,2.0,0.0,1.0,9.0,0.0,1.0,283.0,135750.0
6.0,3.0,4.0,38.0,41.0,1.0,0.0,1.0,2.0,1.0,672.0,2.0,1072.0,1285.0,0.0,1.0,4.0,0.0,1.0,22.0,0.0,1.0,240.0,127000.0
4.0,6.0,3.0,73.0,24.0,1.0,0.0,1.0,2.0,1.0,1768.0,2.0,1768.0,1768.0,2.0,1.0,7.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,136500.0
6.0,5.0,4.0,11.0,35.0,1.0,0.0,1.0,5.0,1.0,440.0,3.0,682.0,1230.0,0.0,1.0,3.0,0.0,1.0,49.0,0.0,2.0,440.0,110000.0
14.0,10.0,5.0,73.0,24.0,2.0,576.0,1.0,2.0,2.0,896.0,2.0,1182.0,2142.0,2.0,2.0,7.0,1.0,4.0,59.0,2.0,1.0,509.0,193500.0
13.0,11.0,5.0,92.0,48.0,2.0,443.0,1.0,5.0,3.0,1237.0,4.0,1337.0,1337.0,2.0,1.0,3.0,0.0,4.0,77.0,2.0,2.0,405.0,153500.0
11.0,19.0,7.0,103.0,56.0,3.0,468.0,1.0,5.0,2.0,1563.0,4.0,1563.0,1563.0,2.0,2.0,4.0,1.0,4.0,88.0,1.0,4.0,758.0,245000.0
11.0,10.0,4.0,66.0,19.0,0.0,66.0,1.0,2.0,1.0,1065.0,3.0,1065.0,1065.0,0.0,1.0,4.0,0.0,1.0,51.0,0.0,2.0,461.0,126500.0
10.0,14.0,6.0,105.0,51.0,2.0,22.0,1.0,5.0,2.0,384.0,3.0,804.0,1474.0,2.0,1.0,5.0,1.0,5.0,90.0,2.0,2.0,400.0,168500.0
14.0,24.0,7.0,80.0,33.0,2.0,284.0,2.0,2.0,2.0,1288.0,4.0,1301.0,2417.0,2.0,2.0,8.0,1.0,4.0,65.0,0.0,2.0,462.0,260000.0
14.0,14.0,5.0,97.0,50.0,1.0,0.0,2.0,5.0,2.0,684.0,4.0,684.0,1560.0,2.0,2.0,4.0,1.0,5.0,81.0,2.0,2.0,400.0,174000.0
5.0,19.0,5.0,106.0,59.0,3.0,76.0,2.0,5.0,2.0,612.0,4.0,612.0,1224.0,2.0,2.0,2.0,0.0,1.0,94.0,1.0,2.0,528.0,164500.0
6.0,1.0,2.0,31.0,4.0,1.0,0.0,0.0,2.0,1.0,1013.0,2.0,1013.0,1526.0,0.0,0.0,4.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,85000.0
11.0,16.0,3.0,100.0,47.0,1.0,0.0,1.0,5.0,2.0,990.0,4.0,990.0,990.0,0.0,1.0,3.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,123600.0
11.0,10.0,3.0,22.0,1.0,1.0,0.0,1.0,0.0,1.5797610681658467,0.0,2.0,1040.0,1040.0,0.0,1.0,2.0,0.0,1.0,30.0,0.0,2.0,420.0,109900.0
11.0,10.0,4.0,43.0,11.0,0.0,203.0,1.0,2.0,1.0,1235.0,2.0,1235.0,1235.0,0.0,1.0,4.0,0.0,4.0,32.0,0.0,2.0,480.0,98600.0
0.0,17.0,4.0,45.0,57.0,1.0,0.0,1.0,1.0,2.0,876.0,4.0,964.0,964.0,0.0,1.0,3.0,0.0,1.0,21.0,0.0,2.0,432.0,163500.0
3.0,5.0,5.0,11.0,48.0,1.0,0.0,1.0,1.0,1.0,1214.0,4.0,1260.0,2291.0,2.0,1.0,8.0,1.0,1.0,18.0,0.0,2.0,506.0,133900.0
14.0,16.0,5.0,89.0,52.0,1.0,0.0,1.0,5.0,2.0,824.0,4.0,905.0,1786.0,2.0,2.0,5.0,0.0,4.0,75.0,1.0,2.0,684.0,204750.0
14.0,14.0,5.0,90.0,55.0,2.0,68.0,3.0,5.0,2.0,680.0,3.0,680.0,1470.0,2.0,1.0,4.0,1.0,5.0,83.0,2.0,2.0,420.0,185000.0
11.0,16.0,6.0,86.0,46.0,2.0,183.0,2.0,5.0,2.0,1588.0,4.0,1588.0,1588.0,2.0,2.0,4.0,0.0,4.0,73.0,1.0,2.0,472.0,214000.0
11.0,4.0,3.0,55.0,18.0,2.0,48.0,1.0,2.0,1.0,960.0,2.0,960.0,960.0,0.0,1.0,4.0,0.0,4.0,45.0,2.0,1.0,432.0,94750.0
0.0,4.0,4.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,458.0,1.0,835.0,835.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,366.0,83000.0
11.0,10.0,3.0,56.0,13.0,1.0,0.0,1.0,2.0,1.0,950.0,1.0,1225.0,1225.0,0.0,1.0,4.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,128950.0
11.0,13.0,5.0,74.0,41.0,2.0,28.0,1.0,5.0,1.0,1610.0,3.0,1610.0,1610.0,2.0,2.0,4.0,2.0,4.0,60.0,1.0,2.0,480.0,205000.0
14.0,12.0,5.0,81.0,32.0,2.0,336.0,2.0,2.0,2.0,741.0,2.0,977.0,1732.0,2.0,2.0,5.0,1.0,4.0,53.0,2.0,2.0,476.0,178000.0
4.0,12.0,4.0,58.0,23.0,1.0,0.0,1.0,0.0,1.5797610681658467,0.0,2.0,1535.0,1535.0,2.0,1.0,7.0,0.0,4.0,41.0,0.0,2.0,410.0,118964.0
11.0,16.0,6.0,106.0,59.0,1.0,0.0,1.0,5.0,2.0,1226.0,4.0,1226.0,1226.0,2.0,2.0,4.0,0.0,4.0,94.0,1.0,4.0,740.0,198900.0
6.0,1.0,6.0,21.0,1.0,2.0,600.0,1.0,5.0,1.0,1040.0,4.0,1226.0,1818.0,0.0,1.0,5.0,2.0,1.0,31.0,0.0,1.0,240.0,169500.0
14.0,19.0,7.0,96.0,43.0,2.0,768.0,2.0,5.0,3.0,1053.0,4.0,1053.0,1992.0,2.0,2.0,8.0,1.0,4.0,84.0,1.0,2.0,648.0,250000.0
0.0,5.0,3.0,9.0,47.0,1.0,0.0,1.0,1.0,0.0,641.0,3.0,1047.0,1047.0,0.0,1.0,4.0,0.0,1.0,29.0,0.0,1.0,273.0,100000.0
11.0,5.0,4.0,38.0,1.0,1.0,0.0,1.0,2.0,1.0,789.0,4.0,789.0,789.0,0.0,1.0,3.0,0.0,1.0,22.0,0.0,1.0,250.0,115000.0
6.0,1.0,4.0,57.0,50.0,1.0,0.0,1.0,2.0,1.0,793.0,2.0,997.0,1517.0,2.0,0.0,5.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,115000.0
11.0,13.0,5.0,74.0,28.0,2.0,480.0,1.0,2.0,2.0,1844.0,4.0,1844.0,1844.0,2.0,1.0,5.0,1.0,4.0,60.0,1.0,2.0,546.0,190000.0
6.0,4.0,5.0,41.0,7.0,1.0,0.0,1.0,2.0,1.0,994.0,3.0,1216.0,1855.0,2.0,1.0,5.0,0.0,4.0,29.0,0.0,1.0,325.0,136900.0
10.0,14.0,6.0,87.0,38.0,1.0,0.0,1.0,5.0,2.0,384.0,4.0,774.0,1430.0,2.0,1.0,5.0,1.0,5.0,76.0,2.0,2.0,400.0,180000.0
14.0,16.0,6.0,103.0,56.0,3.0,220.0,2.0,5.0,3.0,1264.0,4.0,1282.0,2696.0,2.0,3.0,10.0,1.0,5.0,88.0,2.0,4.0,792.0,383970.0
11.0,17.0,5.0,51.0,21.0,2.0,184.0,1.0,2.0,2.0,1809.0,2.0,2259.0,2259.0,2.0,2.0,5.0,2.0,3.0,39.0,0.0,2.0,450.0,217000.0
9.0,17.0,5.0,30.0,53.0,1.0,0.0,1.0,2.0,1.0,1028.0,4.0,1436.0,2320.0,2.0,2.0,8.0,1.0,1.0,15.0,0.0,1.0,180.0,259500.0
5.0,19.0,5.0,86.0,46.0,2.0,1129.0,1.0,5.0,2.0,729.0,3.0,729.0,1458.0,2.0,1.0,3.0,1.0,1.0,73.0,0.0,2.0,440.0,176000.0
11.0,6.0,4.0,50.0,20.0,2.0,116.0,1.0,2.0,1.0,1092.0,2.0,1092.0,1092.0,0.0,1.0,4.0,1.0,4.0,28.0,0.0,1.0,288.0,139000.0
11.0,4.0,4.0,102.0,56.0,1.0,0.0,1.0,5.0,2.0,1125.0,3.0,1125.0,1125.0,0.0,1.0,3.0,0.0,4.0,88.0,0.0,2.0,430.0,155000.0
14.0,12.0,6.0,94.0,45.0,1.0,0.0,1.0,5.0,2.0,1673.0,3.0,1699.0,3222.0,3.0,2.0,11.0,2.0,4.0,74.0,0.0,4.0,594.0,320000.0
14.0,16.0,5.0,97.0,57.0,1.0,0.0,2.0,5.0,2.0,728.0,4.0,728.0,1456.0,2.0,2.0,7.0,1.0,4.0,81.0,2.0,2.0,390.0,163990.0
10.0,18.0,5.0,63.0,26.0,1.0,0.0,1.0,2.0,1.0,938.0,4.0,988.0,988.0,0.0,1.0,2.0,2.0,4.0,56.0,0.0,2.0,540.0,180000.0
6.0,1.0,3.0,53.0,1.0,1.0,0.0,1.0,5.0,1.0,732.0,3.0,772.0,1123.0,0.0,1.0,2.0,0.0,1.0,41.0,0.0,1.0,264.0,100000.0
11.0,10.0,5.0,48.0,8.0,2.0,135.0,1.0,2.0,1.0,1080.0,3.0,1080.0,1080.0,0.0,1.0,3.0,0.0,4.0,24.0,0.0,1.0,288.0,136000.0
13.0,12.0,5.0,90.0,55.0,1.0,0.0,2.0,5.0,2.0,1199.0,4.0,1199.0,1199.0,2.0,2.0,3.0,0.0,4.0,83.0,1.0,2.0,530.0,153900.0
11.0,13.0,5.0,58.0,48.0,1.0,0.0,1.0,2.0,2.0,1362.0,2.0,1586.0,1586.0,2.0,1.0,5.0,1.0,4.0,41.0,0.0,2.0,435.0,181000.0
3.0,1.0,5.0,65.0,4.0,1.0,0.0,1.0,2.0,1.0,520.0,3.0,520.0,754.0,0.0,1.0,3.0,0.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,84500.0
13.0,9.0,5.0,70.0,31.0,1.0,0.0,1.0,2.0,2.0,1078.0,2.0,958.0,958.0,2.0,1.0,3.0,1.0,4.0,60.0,1.0,2.0,440.0,128000.0
2.0,5.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,672.0,4.0,840.0,840.0,0.0,1.0,3.0,1.0,3.173313995649021,59.46990572878898,0.8165337200870196,0.0,0.0,87000.0
14.0,10.0,5.0,62.0,22.0,2.0,266.0,1.0,2.0,1.0,660.0,2.0,660.0,1348.0,0.0,1.0,4.0,1.0,4.0,49.0,1.0,2.0,453.0,155000.0
11.0,10.0,4.0,48.0,36.0,2.0,85.0,1.0,2.0,1.0,1008.0,2.0,1053.0,1053.0,0.0,3.0,4.0,0.0,2.0,77.0,1.0,2.0,750.0,150000.0
14.0,10.0,6.0,62.0,22.0,2.0,309.0,1.0,2.0,1.0,924.0,4.0,1216.0,2157.0,2.0,2.0,7.0,2.0,4.0,49.0,2.0,2.0,487.0,226000.0
14.0,14.0,5.0,87.0,38.0,2.0,40.0,2.0,5.0,2.0,992.0,4.0,1022.0,2054.0,2.0,2.0,5.0,1.0,5.0,76.0,1.0,2.0,390.0,244000.0
11.0,10.0,4.0,56.0,53.0,1.0,0.0,1.0,2.0,1.0,1063.0,3.0,1327.0,1327.0,0.0,2.0,5.0,0.0,1.0,51.0,0.0,2.0,624.0,150750.0
11.0,21.0,7.0,99.0,53.0,2.0,136.0,2.0,5.0,3.0,1267.0,4.0,1296.0,1296.0,2.0,2.0,4.0,0.0,4.0,89.0,2.0,2.0,471.0,220000.0
11.0,6.0,4.0,73.0,55.0,1.0,0.0,1.0,2.0,1.0,1461.0,3.0,1721.0,1721.0,2.0,1.0,5.0,1.0,4.0,59.0,1.0,2.0,440.0,180000.0
11.0,13.0,6.0,33.0,16.0,2.0,288.0,1.0,5.0,1.0,1304.0,3.0,1682.0,1682.0,2.0,1.0,5.0,1.0,4.0,43.0,0.0,2.0,530.0,174000.0
